Item #,Item Description,Qty,Unit Retail,Ext. Retail
DEW_DCG418X1,60V ANGLE GRINDER 1 EA DWALT,11,484.99,5334.89
HDX_GG4311ER,REMFG HD BRAKE SHOE 1 EA HALDX,70,64.99,4549.299999999999
BYC_BAYSLR2166,DUAL FUNCTION RECHAR 1 EA BAYC,19,111.99,2127.81
WAL_16332,CATALYTIC CONVERTER 1 EA WLKER,2,1047,2094
CWD_YH145612,BRAKE ROTOR 1 EA WREVR,30,68.99,2069.7
DOR_590-205,FRONT IMPACT SENSOR 1 PC DORMA,9,215.99,1943.91
HDX_EL16111X,MACK EXT FLANGE 1 EA HALDX,3,605.99,1817.97
CQR_R95310,CARTRIDGE FILTER 1 EA CQRED,30,58.99,1769.7
QBS_18-816379,COMPL STRUT ASSEMBLY 1 EA STRU,4,411.99,1647.96
ATB_150.T1101.S2,OUT MNT HUB ASSEMBLY 1 EA ATMA,7,232.99,1630.93
ING_2115TIMAX,3/8 TITANIUM IMPACTO 1 EA IGRS,4,387.99,1551.96
DEW_DCF921P2,20V .5 IN SR HR 1 EA DWALT,3,504.99,1514.97
CWD_BHA620576,BRAKE HOSE 1 EA WREVR,22,64.99,1429.78
AAG_RAC1919,HID H'LITE BALLAST 1 EA CQPVS,3,465.99,1397.97
MA9_GS33495,Head Bolts 1 EA MAHO 1 EA MAHO,10,128.99,1289.9
IHM_IH-CA500B-AA,FM TRANSMITTER 1 EA IHOME,43,28.99,1246.57
MA9_HS54657,HEAD SET 1 EA MAHOR,2,613.99,1227.98
STR_D4383,LIFT SUPPORT 1 EA STRNG,13,93.99,1221.87
QBS_18-818617,COMPL STRUT ASSEMBLY 1 EA STRU,4,296.99,1187.96
DIA_5112A,TPMS STOCKED CABINET 1 EA DLLA,2,592.99,1185.98
STR_F4103,LIFT SUPPORT 1 EA STRNG,62,18.99,1177.3799999999999
DWK_DW-ES800431,TIE ROD END 1 EA DRIVE,12,92.99,1115.8799999999999
QBS_18-818215,COMPL STRUT ASSEMBLY 1 EA STRU,5,219.99,1099.95
QBS_18-818216,COMPL STRUT ASSEMBLY 1 EA STRU,5,219.99,1099.95
HDX_GG4515QR,REMFG HD BRAKE SHOE 1 EA HALDX,22,48.99,1077.78
PWM_PP1682066.MN,AIR COMPRESSOR 1 EA PWRMT,1,1065.99,1065.99
DDP_3911DHP,PORTA POWER KIT 10T 1 EA DHPTL,2,531.99,1063.98
DWK_DW-ES800430,TIE ROD END 1 EA DRIVE,11,92.99,1022.89
ATB_MLC1,HENDRICKSON LOAD SPR 1 EA ATMA,5,201.99,1009.95
SLM_60186,SL 14OZ CAR THRUCORE 1 EA SLIM,72,13.99,1007.28
MA9_HS54579,HEAD SET 1 EA MAHOR,2,498.99,997.98
DOR_521-225,CONTROL ARM 1 EA DOR 1 EA DORM,4,241.99,967.96
AAG_CLC1058,CLOCK SPRING 1 EA CQPVS,3,321.99,965.97
WAL_16448,CONVERTER-ULTRA DF 1 EA WLKER,1,962.99,962.99
SLM_20475,ELITE DIG GAUGE 1 EA SLIME,48,19.99,959.52
ATB_150.D1101.S1,DRIVE HUB ASSEMBLY 1 EA ATMAN,2,478.99,957.98
A1C_23-1811,RACK/PINION-RMFD 1 EA CRDNE,3,314.99,944.97
CWD_BHA98942,BRAKE HOSE 1 EA WREVR,23,40.99,942.7700000000001
PWO_18-A,BATTERY-POWERSPORTS 1 EA DHPWO,13,71.99,935.8699999999999
ATB_AUBK5161-16,U BOLT KIT 7/8IN X 3 1 EA ATMA,13,70.99,922.8699999999999
KNT_35926,HD BEAD BRKR 1 EA KENTL,2,451.99,903.98
DDP_3311DHP,TRANS JACK 1/2 TON 1 EA DHPTL,1,895.99,895.99
QPC_YH145716C,COATED ROTOR 1 EA CQPCR,10,88.99,889.9
CWD_MCA630753,BRAKE MSTR CYLINDER 1 EA WREVR,6,144.99,869.94
CAQ_CQ-H1/24V/70W,"HEADLIGHT, HALOGEN 1 EA CRQST",79,10.99,868.21
ATB_AB1DK23I-8813,AIR SPRING ROLLING L 1 EA ATMA,5,171.99,859.95
AAG_RUC1956,BLOWER RESISTOR 1 EA CQPVS,2,421.99,843.98
AAG_SBC3298,STARTER SOLENOID 1 EA CQPVS,8,104.99,839.92
DWK_DW-K750148,SWAY BAR LINK KIT 1 EA DRIVE,16,49.99,799.84
SLM_20486,ELITE DIAL GAUGE 1 EA SLIME,48,16.29,781.92
HDX_RF14200K,KIT GOLD TOP 2 PLT 1 EA HALDX,1,779.99,779.99
ATB_AUBK5161-134,U BOLT KIT 7/8IN X 3 1 EA ATMA,12,63.99,767.88
SLM_40050,ANALOG TIRE INFLATOR 1 EA SLIM,24,31.99,767.76
AAG_FPE1095,FUEL PUMP DVR MOD 1 EA CQPVS,3,249.99,749.97
MRA_CF-UL105,ANTENNA RETRACTABLE 1 EA METRA,50,14.99,749.5
MA9_HS54442,HEAD SET 1 EA MAHOR,3,247.99,743.97
MON_71125,REFLEX STRUT 1 EA MONRO,6,121.99,731.9399999999999
DWK_DW-K80777,TRACK BAR BUSHING 1 EA DRIVE,27,26.99,728.7299999999999
MHB_515147,Hub Assembly 1 CO MH 1 EA MHBA,2,362.99,725.98
ATB_M1926,FREIGHTLINER HANGER 1 EA ATMAN,6,119.99,719.9399999999999
MON_904957,STRUT-MATE MOUNT KIT 1 EA MONR,12,59.99,719.88
CWD_BHA104352,BRAKE HOSE 1 EA WREVR,30,23.99,719.6999999999999
CUA_23702,8IN LED LIGHTS BLUE 1 EA CUSTM,41,17.49,717.0899999999999
CWD_MCA390515,BRAKE MSTR CYLINDER 1 EA WREVR,3,238.99,716.97
QPC_YH200451C,COATED ROTOR 1 EA CQPCR,8,88.99,711.92
AAG_RUA1185,BLOWER RESISTOR 1 EA CQPVS,3,236.99,710.97
QPC_YH145419C,COATED ROTOR 1 EA CQPCR,8,87.99,703.92
HEL_5523-18,SPARK PLUG KIT 1 EA HELIC,3,229.99,689.97
HDX_RF14256K,KIT GOLD TOP PILOT 1 EA HALDX,1,679.99,679.99
MA9_GS33494,HEAD BOLT SET 1 EA MAHOR,7,96.99,678.93
AAG_CSE2098,IGN LOCK CYL 1 EA CQPVS,1,674.99,674.99
DOR_927-109,SWAY BAR 1 PC DORMA,4,167.99,671.96
CWD_BHA381063,BRAKE HOSE 1 EA WREVR,18,36.99,665.82
MON_172566,QUICK-STRUT ASSEMBLY 1 EA MONR,2,331.99,663.98
ATB_AB1DK28A-8050,AIR SPRING ROLLING L 1 EA ATMA,3,219.99,659.97
MMM_36422,BLUE NET DISC RL 6IN 1 EA 3M,8,81.99,655.92
MON_272599L,QUICK-STRUT ASSEMBLY 1 EA MONR,3,215.99,647.97
ATB_AB1DK23M-9375,AIR SPRING ROLLING L 1 EA ATMA,3,213.99,641.97
MA9_54579A,CYLINDER HEAD GSKT 1 EA MAHOR,8,79.99,639.92
CWD_BHA380543,BRAKE HOSE 1 EA WREVR,16,39.99,639.84
CQR_R88799,AIR FILTER 1 EA CQRED,32,19.99,639.68
PUO_PL14460,OIL FILTER-PURE ONE 1 EA PRONE,52,12.29,639.0799999999999
ATB_170.955205,WABCO TYPE AIR DRYER 1 EA ATMA,3,212.99,638.97
ATB_M21610,CHALMERS SPIGOT CAP 1 EA ATMAN,12,52.99,635.88
CWD_YH200373,BRAKE ROTOR 1 EA WREVR,8,78.99,631.92
ATB_571.LD7W5,HEADHIGH/LOW LED 1 EA ATMAN,3,209.99,629.97
SAP_28078,TPMS SENSOR 1 EA SCHRD,9,69.99,629.91
